Company;Countries listed;Sector;Ticker;;;
ABB;Sweden;industrial machinery;ABB;;;
Ambu;Denmark;healthcare;AMBU-B.CO;;;
Assa Abloy;Sweden;building products;ASSA-B.ST;;;
AstraZeneca;Sweden;pharmaceuticals;AZN;;;
Atlas Copco (class A);Sweden;industrial machinery;ATCO-A.ST;;;
Atlas Copco (class B);Sweden;industrial machinery;ATCO-B.ST;;;
Carlsberg (class B);Denmark;brewers;CBGB.F;;;
Chr. Hansen;Denmark;health care;CHR;;;
Coloplast (class B);Denmark;health care equipment;COLO-B.CO;;;
Danske Bank;Denmark;diversified banks;DANSKE.CO;;;
DSV;Denmark;transport;DSV;;;
Elisa;Finland;telecommunications;ELISA.HE;;;
Ericsson (class B);Sweden;communications equipment;ERIC-B.ST;;;
Essity (class B);Sweden;personal and household goods;ESSITY-B.ST;;;
Fortum;Finland;electric utilities;FORTUM.HE;;;
Genmab;Denmark;health care equipment;GMAB.CO;;;
GN Store Nord;Denmark;health care;GN;;;
Hennes & Mauritz (class B);Sweden;apparel retail;HM-B.ST;;;
Hexagon (class B);Sweden;technology;HEXA-B.ST;;;
Investor (class B);Sweden;multi-sector holdings;INVE-B.ST;;;
KONE;Finland;industrial machinery;KNEBV.HE;;;
Neste;Finland;oil and gas;NESTE.HE;;;
Nokia;Finland;communications equipment;NOK;;;
Nordea;Finland;diversified banks;NDA-SE.ST;;;
Novo Nordisk (class B);Denmark;pharmaceuticals;NOVO-B.CO;;;
Sampo (class A);Finland;insurance;SMPA.F;;;
Sandvik;Sweden;industrial machinery;SAND;;;
SCA (class B);Sweden;paper products;SCA-B.ST;;;
SEB (class A);Sweden;diversified banks;SEB-A.ST;;;
SKF (class B);Sweden;industrial machinery;SKF-B.ST;;;
Stora Enso (class R);Finland;basic resources;STERV.HE;;;
Svenska Handelsbanken (class A);Sweden;diversified banks;SHB-A.ST;;;
Swedbank (class A);Sweden;diversified banks;SWED-A.ST;;;
Swedish Match;Sweden;tobacco;SWMA.ST;;;
Tele2 (class B);Sweden;integrated telecommunication services;TEL2-B.ST;;;
Telia;Sweden;integrated telecommunication services;TLSN;;;
UPM-Kymmene;Finland;paper products;UPM.HE;;;
Vestas Wind Systems;Denmark;heavy electrical equipment;VWS;;;
Volvo;Sweden;"construction and farm machinery; heavy trucks";VOLV-B.ST;;;
Ã˜rsted;Denmark;utilities;D2G.DE;;;